InstrumentID,ExchangeID,ProductID,ProductClass,UnderlyingExchangeID,UnderlyingInstrID,InstrumentID2,ExchangeID2,ProductID2,ProductClass2,UnderlyingExchangeID2,UnderlyingInstrID2,PriceTick,ExpireDate,Symbol
SR711C5900,CZCE,SR_O,Options,CZCE,SR711,SR711C5900,CZCE,SR_O,OPTIONS,CZCE,SR711,0.5,20170925,CZCE.SR711C5900
SR711P5900,CZCE,SR_O,Options,CZCE,SR711,SR711P5900,CZCE,SR_O,OPTIONS,CZCE,SR711,0.5,20170925,CZCE.SR711P5900
SR801C5900,CZCE,SR_O,Options,CZCE,SR801,SR801C5900,CZCE,SR_O,OPTIONS,CZCE,SR801,0.5,20171124,CZCE.SR801C5900
SR801P5900,CZCE,SR_O,Options,CZCE,SR801,SR801P5900,CZCE,SR_O,OPTIONS,CZCE,SR801,0.5,20171124,CZCE.SR801P5900
SR803C5900,CZCE,SR_O,Options,CZCE,SR803,SR803C5900,CZCE,SR_O,OPTIONS,CZCE,SR803,0.5,20180125,CZCE.SR803C5900
SR803P5900,CZCE,SR_O,Options,CZCE,SR803,SR803P5900,CZCE,SR_O,OPTIONS,CZCE,SR803,0.5,20180125,CZCE.SR803P5900
SR805C5800,CZCE,SR_O,Options,CZCE,SR805,SR805C5800,CZCE,SR_O,OPTIONS,CZCE,SR805,0.5,20180326,CZCE.SR805C5800
SR805P5800,CZCE,SR_O,Options,CZCE,SR805,SR805P5800,CZCE,SR_O,OPTIONS,CZCE,SR805,0.5,20180326,CZCE.SR805P5800
SR807C5800,CZCE,SR_O,Options,CZCE,SR807,SR807C5800,CZCE,SR_O,OPTIONS,CZCE,SR807,0.5,20180525,CZCE.SR807C5800
SR807C5900,CZCE,SR_O,Options,CZCE,SR807,SR807C5900,CZCE,SR_O,OPTIONS,CZCE,SR807,0.5,20180525,CZCE.SR807C5900
SR807P5800,CZCE,SR_O,Options,CZCE,SR807,SR807P5800,CZCE,SR_O,OPTIONS,CZCE,SR807,0.5,20180525,CZCE.SR807P5800
SR807P5900,CZCE,SR_O,Options,CZCE,SR807,SR807P5900,CZCE,SR_O,OPTIONS,CZCE,SR807,0.5,20180525,CZCE.SR807P5900
SR809C5800,CZCE,SR_O,Options,CZCE,SR809,SR809C5800,CZCE,SR_O,OPTIONS,CZCE,SR809,0.5,20180725,CZCE.SR809C5800
SR809P5800,CZCE,SR_O,Options,CZCE,SR809,SR809P5800,CZCE,SR_O,OPTIONS,CZCE,SR809,0.5,20180725,CZCE.SR809P5800
SR811C5800,CZCE,SR_O,Options,CZCE,SR811,SR811C5800,CZCE,SR_O,OPTIONS,CZCE,SR811,0.5,20180924,CZCE.SR811C5800
SR811P5800,CZCE,SR_O,Options,CZCE,SR811,SR811P5800,CZCE,SR_O,OPTIONS,CZCE,SR811,0.5,20180924,CZCE.SR811P5800
SPD PM707&PM805,CZCE,SPD PM&PM,Combination,CZCE,,SPD PM707&PM805,CZCE,SPD PM&PM,COMBINATION,CZCE,,1.0,,CZCE.SPD PM707&PM805
SPD PM707&PM803,CZCE,SPD PM&PM,Combination,CZCE,,SPD PM707&PM803,CZCE,SPD PM&PM,COMBINATION,CZCE,,1.0,,CZCE.SPD PM707&PM803
SPD PM707&PM801,CZCE,SPD PM&PM,Combination,CZCE,,SPD PM707&PM801,CZCE,SPD PM&PM,COMBINATION,CZCE,,1.0,,CZCE.SPD PM707&PM801
SPD PM707&PM709,CZCE,SPD PM&PM,Combination,CZCE,,SPD PM707&PM709,CZCE,SPD PM&PM,COMBINATION,CZCE,,1.0,,CZCE.SPD PM707&PM709
SPD PM707&PM711,CZCE,SPD PM&PM,Combination,CZCE,,SPD PM707&PM711,CZCE,SPD PM&PM,COMBINATION,CZCE,,1.0,,CZCE.SPD PM707&PM711
SPD OI711&OI803,CZCE,SPD OI&OI,Combination,CZCE,,SPD OI711&OI803,CZCE,SPD OI&OI,COMBINATION,CZCE,,2.0,,CZCE.SPD OI711&OI803
SPD OI711&OI801,CZCE,SPD OI&OI,Combination,CZCE,,SPD OI711&OI801,CZCE,SPD OI&OI,COMBINATION,CZCE,,2.0,,CZCE.SPD OI711&OI801
SPD OI711&OI805,CZCE,SPD OI&OI,Combination,CZCE,,SPD OI711&OI805,CZCE,SPD OI&OI,COMBINATION,CZCE,,2.0,,CZCE.SPD OI711&OI805
SP v1801&v1801,DCE,SP v&v,Combination,DCE,,SP V1801&V1801,DCE,SP V&V,COMBINATION,DCE,,5.0,,DCE.SP V1801&V1801
SPC v1801&pp1709,DCE,SPC v&pp,Combination,DCE,,SPC V1801&PP1709,DCE,SPC V&PP,COMBINATION,DCE,,5.0,,DCE.SPC V1801&PP1709
SPC v1801&pp1705,DCE,SPC v&pp,Combination,DCE,,SPC V1801&PP1705,DCE,SPC V&PP,COMBINATION,DCE,,5.0,,DCE.SPC V1801&PP1705
SPC v1801&pp1801,DCE,SPC v&pp,Combination,DCE,,SPC V1801&PP1801,DCE,SPC V&PP,COMBINATION,DCE,,5.0,,DCE.SPC V1801&PP1801
SP v1801&v1805,DCE,SP v&v,Combination,DCE,,SP V1801&V1805,DCE,SP V&V,COMBINATION,DCE,,5.0,,DCE.SP V1801&V1805
SP m1708&m1801,DCE,SP m&m,Combination,DCE,,SP M1708&M1801,DCE,SP M&M,COMBINATION,DCE,,1.0,,DCE.SP M1708&M1801
SP m1708&m1712,DCE,SP m&m,Combination,DCE,,SP M1708&M1712,DCE,SP M&M,COMBINATION,DCE,,1.0,,DCE.SP M1708&M1712
SP m1708&m1709,DCE,SP m&m,Combination,DCE,,SP M1708&M1709,DCE,SP M&M,COMBINATION,DCE,,1.0,,DCE.SP M1708&M1709
SP cs1801&cs1801,DCE,SP cs&cs,Combination,DCE,,SP CS1801&CS1801,DCE,SP CS&CS,COMBINATION,DCE,,1.0,,DCE.SP CS1801&CS1801
